id;placed_date;status;code
1;2021-06-19T00:07:30;COMPLETED;Electronics
2;2021-06-18T18:29:29;COMPLETED;payment PCI violet
3;2021-06-19T04:58:22;CANCELLED;background out-of-the-box withdrawal
4;2021-06-18T09:01:23;COMPLETED;Music real-time
5;2021-06-18T17:05:32;CANCELLED;Hat
6;2021-06-19T05:50:20;PENDING;solid navigating
7;2021-06-18T15:46:06;PENDING;Toys maroon
8;2021-06-19T04:35:40;COMPLETED;Developer
9;2021-06-18T12:04:04;COMPLETED;Credit Soft Cotton
10;2021-06-19T02:46:40;CANCELLED;contingency Bedfordshire
